--------Result---------------
[205, 'A350', 'QR970', 825, 895, 18, 'A350', 'QR970', 0.10398475398475399, 0.10398475398475399]
[206, 'A320', 'TR306', 855, 895, 60, 'A320', 'TR307', 0.052702702702702706, 0.052702702702702706]
[207, 'A320', 'VJ213', 865, 900, 8, 'A321', 'VN130', 0.052702702702702706, 0.0527027027027027]
[208, 'A320', 'TR304', 535, 900, 62, 'A320', 'BL434', 0.052702702702702706, 0.052702702702702706]
[209, 'A321', 'VJ620', 850, 900, 31, 'A321', 'VN1396', 0.052702702702702706, 0.052702702702702706]
[210, 'B787', 'VN242', 840, 900, 4, 'A350', 'VN248', 0.052702702702702706, 0.052702702702702706]
[211, 'A321', 'VN1186', 850, 900, 32, 'A321', 'VJ876', 0.08168820994907952, 0.08168820994907952]
[212, 'A320', 'BL425', 870, 905, 57, 'A320', 'VJ224', 0.052702702702702706, 0.052702702702702706]
[213, 'A321', 'BL312', 875, 910, 9, 'A320', 'BL772', 0.052702702702702706, 0.0527027027027027]
[214, 'A320', 'VJ277', 880, 915, 3, 'A320', 'VJ374', 0.052702702702702706, 0.052702702702702706]
[215, 'A321', 'VN655', 850, 915, 37, 'A321', 'VN675', 0.09166374166374167, 0.09166374166374167]
[216, 'A321', 'VN1373', 885, 920, 1, 'A321', 'BL321', 0.052702702702702706, 0.052702702702702706]
[217, 'AT72', '0V8072', 890, 925, 15, 'AT72', '0V8085', 0.052702702702702706, 0.052702702702702706]
[218, 'A320', 'VJ813', 885, 925, 36, 'A320', 'BL692', 0.052702702702702706, 0.052702702702702706]
[219, 'A321', 'VN1814', 890, 925, 2, 'A321', 'VJ2552', 0.14480796586059744, 0.14480796586059744]
[220, 'A321', 'VN650', 860, 930, 41, 'A321', 'VN132', 0.052702702702702706, 0.052702702702702706]
[221, 'A321', 'PR597', 870, 930, 71, 'A321', 'PR598', 0.052702702702702706, 0.052702702702702706]
[222, 'A320', '3K557', 890, 930, 63, 'A320', '3K558', 0.052702702702702706, 0.052702702702702706]
[223, 'A321', 'VN130', 900, 935, 8, 'A320', 'BL350', 0.052702702702702706, 0.0527027027027027]
[224, 'A321', 'VN1396', 900, 940, 31, 'A321', 'VN1827', 0.052702702702702706, 0.052702702702702706]
[225, 'A321', 'CZ373', 870, 940, 72, 'A321', 'CZ374', 0.052702702702702706, 0.052702702702702706]
[226, 'A320', 'BL772', 910, 945, 9, 'A321', 'VJ260', 0.052702702702702706, 0.0527027027027027]
[227, 'F2TH', 'VPCTV', 900, 945, 16, 'AT72', 'K6825', 0.052702702702702706, 0.052702702702702706]
[228, 'A320', 'FD654', 920, 950, 56, 'A320', 'FD655', 0.052702702702702706, 0.052702702702702706]
[229, 'A321', 'BL321', 920, 955, 1, 'A321', 'VJ2574', 0.09586817032860198, 0.09586817032860198]
[230, 'B773', 'BR395', 585, 955, 12, 'B773', 'BR396', 0.052702702702702706, 0.052702702702702706]
[231, 'A333', 'SQ184', 880, 955, 20, 'A333', 'SQ183', 0.052702702702702706, 0.052702702702702706]
[232, 'A321', 'VJ2552', 925, 960, 2, 'A321', 'VN134', 0.052702702702702706, 0.052702702702702706]
[233, 'A321', 'VN675', 915, 960, 37, 'A321', 'VN7815', 0.052702702702702706, 0.052702702702702706]
[234, 'A321', 'VN1187', 915, 960, 38, 'A321', 'BL452', 0.052702702702702706, 0.052702702702702706]
[235, 'A320', 'VJ374', 915, 960, 3, 'A320', 'VJ314', 0.052702702702702706, 0.052702702702702706]
[236, 'A321', 'VJ804', 920, 960, 40, 'A321', 'VN256', 0.052702702702702706, 0.052702702702702706]
[237, 'A321', 'VN921', 915, 960, 51, 'A321', 'VN920', 0.052702702702702706, 0.052702702702702706]
[238, 'A350', 'VN248', 900, 960, 4, 'A350', 'VN657', 0.10787511649580615, 0.10787511649580615]
[239, 'A320', 'BL692', 925, 965, 36, 'A320', 'BL378', 0.052702702702702706, 0.052702702702702706]
[240, 'A321', 'VJ613', 365, 975, 76, 'A321', 'VJ608', 0.052702702702702706, 0.052702702702702706]
[241, 'A321', 'VN1827', 940, 975, 31, 'A321', 'VN7833', 0.052702702702702706, 0.052702702702702706]
[242, 'A321', 'VJ260', 945, 980, 9, 'A321', 'VJ308', 0.052702702702702706, 0.0527027027027027]
[243, 'A321', 'VJ147', 940, 980, 32, 'A321', 'VN813', 0.10398475398475399, 0.10398475398475399]
[244, 'B738', 'OD561', 925, 980, 6, 'B738', 'OD562', 0.052702702702702706, 0.052702702702702706]
[245, 'A320', 'AK522', 950, 980, 58, 'A320', 'AK523', 0.052702702702702706, 0.052702702702702706]
[246, 'A321', 'VN571', 625, 985, 77, 'A321', 'VN570', 0.052702702702702706, 0.052702702702702706]
[247, 'A321', 'VN1347', 935, 990, 52, 'A321', 'VN1352', 0.052702702702702706, 0.052702702702702706]
[248, 'B738', 'MH758', 940, 1000, 14, 'B738', 'MH759', 0.052702702702702706, 0.052702702702702706]
[249, 'A321', 'QH219', 970, 1005, 8, 'A321', 'VN1382', 0.052702702702702706, 0.0527027027027027]
[250, 'A350', 'VN657', 960, 1010, 4, 'B787', 'VN607', 0.09695049031332217, 0.09695049031332217]
[251, 'A321', 'VN7833', 975, 1020, 31, 'A321', 'VN136', 0.052702702702702706, 0.052702702702702706]
[252, 'A321', 'VN813', 980, 1020, 32, 'A321', 'QH216', 0.052702702702702706, 0.052702702702702706]
[253, 'A350', 'VN239', 975, 1020, 5, 'A350', 'VN258', 0.052702702702702706, 0.052702702702702706]
[254, 'A321', 'VN131', 990, 1025, 1, 'A321', 'VN598', 0.08160443680674895, 0.08160443680674895]
[255, 'A321', 'VJ892', 995, 1035, 2, 'A321', 'VN1374', 0.052702702702702706, 0.052702702702702706]
[256, 'A321', 'VN256', 960, 1035, 40, 'A321', 'VJ805', 0.13012205754141237, 0.13012205754141237]
[257, 'A321', 'VN1382', 1005, 1040, 8, 'A321', 'VJ329', 0.052702702702702706, 0.0527027027027027]
[258, 'B738', 'OD561', 980, 1040, 6, 'A350', 'VN252', 0.052702702702702706, 0.052702702702702706]
[259, 'A321', 'VN243', 1005, 1040, 34, 'A321', 'VN892', 0.06777807958712481, 0.06777807958712481]
[260, 'A320', 'TR302', 1000, 1040, 56, 'A320', 'TR303', 0.052702702702702706, 0.052702702702702706]
